method,feature,descriptor_mode,superpixel_cell_size,grid_x,grid_y,max_images,num_indexed,query_filename,query_categories,match_rank,match_filename,match_categories,shares_label,distance,index_time_ms,query_time_ms
SIFT_GLOBAL_1000,SIFT,GLOBAL,0,0,0,1000,1000,000000000139.jpg,"",1,000000000714.jpg,"",0,0.0832433,154220,274.67
SIFT_GLOBAL_1000,SIFT,GLOBAL,0,0,0,1000,1000,000000000139.jpg,"",2,000000000486.jpg,"",0,0.0837748,154220,274.67
SIFT_GLOBAL_1000,SIFT,GLOBAL,0,0,0,1000,1000,000000000139.jpg,"",3,000000001138.jpg,"",0,0.0849891,154220,274.67
SIFT_GLOBAL_1000,SIFT,GLOBAL,0,0,0,1000,1000,000000000139.jpg,"",4,000000004731.jpg,"",0,0.0858127,154220,274.67
SIFT_GLOBAL_1000,SIFT,GLOBAL,0,0,0,1000,1000,000000000139.jpg,"",5,000000000338.jpg,"",0,0.0858871,154220,274.67
ORB_GLOBAL_1000,ORB,GLOBAL,0,0,0,1000,1000,000000000139.jpg,"",1,000000005021.jpg,"",0,0.0304114,18738.7,110.808
ORB_GLOBAL_1000,ORB,GLOBAL,0,0,0,1000,1000,000000000139.jpg,"",2,000000003242.jpg,"",0,0.0352202,18738.7,110.808
ORB_GLOBAL_1000,ORB,GLOBAL,0,0,0,1000,1000,000000000139.jpg,"",3,000000000715.jpg,"",0,0.0364958,18738.7,110.808
ORB_GLOBAL_1000,ORB,GLOBAL,0,0,0,1000,1000,000000000139.jpg,"",4,000000002055.jpg,"",0,0.0366292,18738.7,110.808
ORB_GLOBAL_1000,ORB,GLOBAL,0,0,0,1000,1000,000000000139.jpg,"",5,000000002415.jpg,"",0,0.0374007,18738.7,110.808
SIFT_SUPERPIXEL_SPATIAL_32_1000,SIFT,SUPERPIXEL_SPATIAL,32,8,8,1000,1000,000000000139.jpg,"",1,000000002619.jpg,"",0,0.786369,65740.1,182.578
SIFT_SUPERPIXEL_SPATIAL_32_1000,SIFT,SUPERPIXEL_SPATIAL,32,8,8,1000,1000,000000000139.jpg,"",2,000000000061.jpg,"",0,0.788246,65740.1,182.578
SIFT_SUPERPIXEL_SPATIAL_32_1000,SIFT,SUPERPIXEL_SPATIAL,32,8,8,1000,1000,000000000139.jpg,"",3,000000001781.jpg,"",0,0.790553,65740.1,182.578
SIFT_SUPERPIXEL_SPATIAL_32_1000,SIFT,SUPERPIXEL_SPATIAL,32,8,8,1000,1000,000000000139.jpg,"",4,000000001792.jpg,"",0,0.792072,65740.1,182.578
SIFT_SUPERPIXEL_SPATIAL_32_1000,SIFT,SUPERPIXEL_SPATIAL,32,8,8,1000,1000,000000000139.jpg,"",5,000000002142.jpg,"",0,0.792824,65740.1,182.578
SIFT_SUPERPIXEL_SPATIAL_64_1000,SIFT,SUPERPIXEL_SPATIAL,64,4,4,1000,1000,000000000139.jpg,"",1,000000001264.jpg,"",0,0.468455,58054.1,123.85
SIFT_SUPERPIXEL_SPATIAL_64_1000,SIFT,SUPERPIXEL_SPATIAL,64,4,4,1000,1000,000000000139.jpg,"",2,000000004796.jpg,"",0,0.471115,58054.1,123.85
SIFT_SUPERPIXEL_SPATIAL_64_1000,SIFT,SUPERPIXEL_SPATIAL,64,4,4,1000,1000,000000000139.jpg,"",3,000000003077.jpg,"",0,0.473932,58054.1,123.85
SIFT_SUPERPIXEL_SPATIAL_64_1000,SIFT,SUPERPIXEL_SPATIAL,64,4,4,1000,1000,000000000139.jpg,"",4,000000004642.jpg,"",0,0.474051,58054.1,123.85
SIFT_SUPERPIXEL_SPATIAL_64_1000,SIFT,SUPERPIXEL_SPATIAL,64,4,4,1000,1000,000000000139.jpg,"",5,000000001386.jpg,"",0,0.476802,58054.1,123.85
ORB_SUPERPIXEL_SPATIAL_32_1000,ORB,SUPERPIXEL_SPATIAL,32,8,8,1000,1000,000000000139.jpg,"",1,000000002193.jpg,"",0,0.603354,9287.91,69.2637
ORB_SUPERPIXEL_SPATIAL_32_1000,ORB,SUPERPIXEL_SPATIAL,32,8,8,1000,1000,000000000139.jpg,"",2,000000000629.jpg,"",0,0.606069,9287.91,69.2637
ORB_SUPERPIXEL_SPATIAL_32_1000,ORB,SUPERPIXEL_SPATIAL,32,8,8,1000,1000,000000000139.jpg,"",3,000000001924.jpg,"",0,0.624599,9287.91,69.2637
ORB_SUPERPIXEL_SPATIAL_32_1000,ORB,SUPERPIXEL_SPATIAL,32,8,8,1000,1000,000000000139.jpg,"",4,000000005115.jpg,"",0,0.635433,9287.91,69.2637
ORB_SUPERPIXEL_SPATIAL_32_1000,ORB,SUPERPIXEL_SPATIAL,32,8,8,1000,1000,000000000139.jpg,"",5,000000001436.jpg,"",0,0.638084,9287.91,69.2637
ORB_SUPERPIXEL_SPATIAL_64_1000,ORB,SUPERPIXEL_SPATIAL,64,4,4,1000,1000,000000000139.jpg,"",1,000000000094.jpg,"",0,0.42601,8259.9,61.0769
ORB_SUPERPIXEL_SPATIAL_64_1000,ORB,SUPERPIXEL_SPATIAL,64,4,4,1000,1000,000000000139.jpg,"",2,000000002531.jpg,"",0,0.435394,8259.9,61.0769
ORB_SUPERPIXEL_SPATIAL_64_1000,ORB,SUPERPIXEL_SPATIAL,64,4,4,1000,1000,000000000139.jpg,"",3,000000001522.jpg,"",0,0.439581,8259.9,61.0769
ORB_SUPERPIXEL_SPATIAL_64_1000,ORB,SUPERPIXEL_SPATIAL,64,4,4,1000,1000,000000000139.jpg,"",4,000000001756.jpg,"",0,0.441946,8259.9,61.0769
ORB_SUPERPIXEL_SPATIAL_64_1000,ORB,SUPERPIXEL_SPATIAL,64,4,4,1000,1000,000000000139.jpg,"",5,000000000143.jpg,"",0,0.445736,8259.9,61.0769
